CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBand
C00001,Male,1,No,No,52,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.24,4704.1,Yes,49m+
C00002,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),102.7,5766.01,Yes,49m+
C00003,Male,0,No,Yes,60,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),81.09,5070.66,Yes,49m+
C00004,Male,0,Yes,Yes,62,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),106.14,6731.38,No,49m+
C00005,Female,1,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,116.55,4558.94,No,25-48m
C00006,Female,0,Yes,No,42,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),109.66,4424.02,No,25-48m
C00007,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.54,2050.92,Yes,25-48m
C00008,Male,0,No,Yes,9,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),106.1,1000.41,No,7-12m
C00009,Male,0,Yes,No,1,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,83.7,82.2,Yes,0-6m
C00010,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),127.28,387.95,No,0-6m
C00011,Male,0,No,No,60,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),87.47,5290.55,No,49m+
C00012,Female,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,89.42,2183.01,Yes,25-48m
C00013,Male,1,No,No,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),128.23,6222.85,No,49m+
C00014,Female,1,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.15,2492.83,No,25-48m
C00015,Female,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),47.01,1492.25,Yes,25-48m
C00016,Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),128.36,1728.82,Yes,13-24m
C00017,Female,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.11,3434.89,Yes,49m+
C00018,Male,1,No,Yes,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,127.67,1607.07,No,13-24m
C00019,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,166.26,2741.8,No,13-24m
C00020,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.07,1202.73,No,13-24m
C00021,Female,1,No,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,121.51,3721.58,Yes,25-48m
C00022,Female,0,No,No,34,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,77.71,2739.14,No,25-48m
C00023,Male,0,No,Yes,55,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),108.79,6027.39,No,49m+
C00024,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.2,2826.18,No,49m+
C00025,Female,1,No,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),118.02,2210.97,No,13-24m
C00026,Male,0,No,No,70,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),88.04,6101.31,No,49m+
C00027,Male,0,Yes,No,56,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.76,6098.67,No,49m+
C00028,Male,0,No,No,16,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.25,1725.15,Yes,13-24m
C00029,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),38.12,1095.67,No,25-48m
C00030,Male,0,No,No,49,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),113.98,5728.6,No,49m+
C00031,Male,1,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),103.07,99.3,Yes,0-6m
C00032,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),114.32,1543.99,No,13-24m
C00033,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,170.4,2889.26,No,13-24m
C00034,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.76,5806.47,No,49m+
C00035,Female,1,Yes,No,26,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.71,2843.72,Yes,25-48m
C00036,Male,0,Yes,Yes,38,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,108.91,4174.52,No,25-48m
C00037,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,45.63,1867.77,Yes,25-48m
C00038,Male,0,Yes,No,62,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),113.91,7102.51,Yes,49m+
C00039,Male,0,Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.69,4075.0,No,25-48m
C00040,Female,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,105.46,4320.11,No,25-48m
C00041,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),92.52,6620.64,No,49m+
C00042,Female,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,107.64,7277.55,Yes,49m+
C00043,Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),45.6,2928.12,No,49m+
C00044,Female,0,No,No,27,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),85.9,2405.61,No,25-48m
C00045,Male,0,Yes,No,68,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),117.39,7832.01,Yes,49m+
C00046,Male,0,No,Yes,21,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),72.72,1538.98,Yes,13-24m
C00047,Male,0,No,No,33,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),88.5,3036.75,Yes,25-48m
C00048,Male,0,Yes,No,49,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,112.03,5568.52,No,49m+
C00049,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,114.96,6547.7,No,49m+
